LAT,LON,M2,USD,NEIGHBORHOOD,COMMUNE,YEAR
-58.41308050460099,-34.61050092653531,278.0,650000.0,BALVANERA,3,2014
-58.41122275197654,-34.611500539365785,1106.0,650000.0,BALVANERA,3,2014
-58.41122275197654,-34.611500539365785,300.0,650000.0,BALVANERA,3,2014
-58.39542426355408,-34.6031258179733,313.0,700000.0,BALVANERA,3,2014
-58.408287554641646,-34.61745535960283,450.0,715000.0,BALVANERA,3,2014
-58.4016548294146,-34.610862028390954,1509.0,750000.0,BALVANERA,3,2014
-58.4016548294146,-34.610862028390954,436.0,750000.0,BALVANERA,3,2014
-58.40298302731391,-34.614396596694114,306.0,790000.0,BALVANERA,3,2014
-58.40171455729513,-34.61216867435886,193.0,800000.0,BALVANERA,3,2014
-58.41039969552752,-34.61155149843496,846.0,820000.0,BALVANERA,3,2014
-58.39460338226834,-34.61575562039532,518.0,889000.0,BALVANERA,3,2014
-58.408078000799904,-34.60541308449073,378.0,890000.0,BALVANERA,3,2014
-58.40237326049297,-34.599956735039704,800.0,990000.0,BALVANERA,3,2014
-58.407756774913494,-34.604127818833454,422.0,1100000.0,BALVANERA,3,2014
-58.408878535144794,-34.61259087253093,1073.0,1500000.0,BALVANERA,3,2014
-58.39621769166622,-34.617171530848154,1450.0,1500000.0,BALVANERA,3,2014
-58.39964197873382,-34.601134783680905,423.0,1570000.0,BALVANERA,3,2014
-58.4086471337065,-34.599375833164444,624.0,1650000.0,BALVANERA,3,2014
-58.4086471337065,-34.599375833164444,650.0,1650000.0,BALVANERA,3,2014
-58.40896333172902,-34.61145036625823,1462.0,1700000.0,BALVANERA,3,2014
-58.394777215026274,-34.60818216084619,2746.0,4500000.0,BALVANERA,3,2014
-58.40616655761594,-34.60323183109305,1626.0,5000000.0,BALVANERA,3,2014
-58.41033198372382,-34.60389529353221,1150.0,5500000.0,BALVANERA,3,2014
-58.40490071753521,-34.61450325932893,10000.0,38000000.0,BALVANERA,3,2014
-58.405604543048,-34.625629807867874,114.0,135000.0,SAN CRISTOBAL,3,2014
-58.4054261629833,-34.626857178670676,180.0,165000.0,SAN CRISTOBAL,3,2014
-58.40721717249456,-34.623078250281246,240.0,195000.0,SAN CRISTOBAL,3,2014
-58.39589414867627,-34.61942697078442,156.0,200000.0,SAN CRISTOBAL,3,2014
-58.40370593732804,-34.628981525573934,272.0,200000.0,SAN CRISTOBAL,3,2014
-58.39874832750184,-34.62703019838028,225.0,210000.0,SAN CRISTOBAL,3,2014
-58.397443594204255,-34.61946523155155,350.0,215000.0,SAN CRISTOBAL,3,2014
-58.40010463914317,-34.6196774380308,156.0,220000.0,SAN CRISTOBAL,3,2014
-58.397082350871344,-34.62679944518858,167.0,220000.0,SAN CRISTOBAL,3,2014
-58.404423575800706,-34.62773900812965,145.0,230000.0,SAN CRISTOBAL,3,2014
-58.393080725891494,-34.62149446323717,189.0,249000.0,SAN CRISTOBAL,3,2014
-58.40077180059476,-34.62223189180172,182.0,250000.0,SAN CRISTOBAL,3,2014
-58.40773914295161,-34.6208656167641,238.0,250000.0,SAN CRISTOBAL,3,2014
-58.4039454216847,-34.62662476146334,300.0,267000.0,SAN CRISTOBAL,3,2014
-58.400254351052844,-34.627304539448296,262.0,270000.0,SAN CRISTOBAL,3,2014
-58.399809355462466,-34.620770160678894,260.0,270000.0,SAN CRISTOBAL,3,2014
-58.41003265239418,-34.62989156123228,130.0,280000.0,SAN CRISTOBAL,3,2014
-58.4054261629833,-34.626857178670676,369.0,290000.0,SAN CRISTOBAL,3,2014
-58.39680461218104,-34.62794836489471,600.0,295000.0,SAN CRISTOBAL,3,2014
-58.39752109650065,-34.62433960157439,301.0,315000.0,SAN CRISTOBAL,3,2014
-58.39752109650065,-34.62433960157439,335.0,315000.0,SAN CRISTOBAL,3,2014
-58.410493451706564,-34.62360461036724,355.0,326744.0,SAN CRISTOBAL,3,2014
